ISO_CODE,Population (people),Color,Inset,Label,DisplayName
SRB,7384063,,,SRB,Serbia
SSD,10545441,,,SSD,South Sudan
STP,216222,,,STP,Sao Tome and Principe
SUR,603805,,,SUR,Suriname
SVK,5457552,,,SVK,Slovakia
SVN,2116252,,,SVN,Slovenia
SWE,10321414,,,SWE,Sweden
SWZ,1174222,,,SWZ,Eswatini
SYC,105006,,,SYC,Seychelles
SYR,20486043,,,SYR,Syrian Arab Republic
TCD,16379185,,,TCD,Chad
TGO,8342236,,,TGO,Togo
THA,71389374,,,THA,Thailand
TJK,9442817,,,TJK,Tajikistan
TKM,6204366,,,TKM,Turkmenistan
TLS,1289754,,,TLS,Timor-Leste
TON,104873,,,TON,Tonga
TTO,151390,,,TTO,Trinidad and Tobago
TUN,12106251,,,TUN,Tunisia
TUR,83811681,,,TUR,Türkiye
TUV,10998,,,TUV,Tuvalu
TWN,23800896,,,TWN,"China, Taiwan Province of China"
TZA,60771966,,,TZA,United Republic of Tanzania
UGA,43685863,,,UGA,Uganda
UKR,44090693,,,UKR,Ukraine
URY,3428271,,,URY,Uruguay
USA,335388238,,,USA,United States of America
UZB,33243463,,,UZB,Uzbekistan
VAT,5250,,,VAT,Holy See
VCT,104712,,,VCT,Saint Vincent and the Grenadines
VEN,28628832,,,VEN,Venezuela (Bolivarian Republic of)
VNM,96203595,,,VNM,Viet Nam
VUT,307972,,,VUT,Vanuatu
WSM,213059,,,WSM,Samoa
XKX,1675138,,,XKX,Kosovo (under UNSC res. 1244)
YEM,31927129,,,YEM,Yemen
ZAF,58466143,,,ZAF,South Africa
ZMB,18654918,,,ZMB,Zambia
ZWE,15505226,,,ZWE,Zimbabwe
