ISO_CODE,Cartogram Data (eg. Population),Color,Inset,Label,ShapeName
UZB,33243463,,,,Uzbekistan
VAT,5250,,,,Holy See
VCT,104712,,,,Saint Vincent and the Grenadines
VEN,28628832,,,,Venezuela (Bolivarian Republic of)
VNM,96203595,,,,Viet Nam
VUT,307972,,,,Vanuatu
WSM,213059,,,,Samoa
XKX,1675138,,,,Kosovo (under UNSC res. 1244)
YEM,31927129,,,,Yemen
ZAF,58466143,,,,South Africa
ZMB,18654918,,,,Zambia
ZWE,15505226,,,,Zimbabwe
