shapeName,Cartogram Data (eg. Population),Color,Inset,Label
Pays de la Loire,7459092,,,
Hauts-de-France,2802519,,,
Provence-Alpes-Côte d'Azur,3149701,,,
Nouvelle-Aquitane,2531588,,,
Grand Est,5521452,,,
Normandie,5931091,,,
Auvergne Rhône-Alpes,11659260,,,
Bretagne,3293092,,,
Bourgogne Franche-Comté,5671076,,,
Centre Val-de-Loire,5419946,,,
Occitanie,3510170,,,
Ile-de-France,4882913,,,
