shapeName,Cartogram Data (eg. Population),Color,Inset,Label
External Territories,5100,,,
Australian Capital Territory,453300,,,
New South Wales,8095400,,,
Northern Territory,249300,,,
Queensland,5265000,,,
South Australia,1806600,,,
Tasmania,569800,,,
Victoria,6559900,,,
Western Australia,2762200,,,
