csv_file,from,to,max_ratio,avg_ratio
algeria_population_by_wilaya_2022,10160,67593,6.65285,6.11728
austria_population_by_state_2020,9957,17398,1.74731,1.72822
belgium_population_by_region_2022,3526,11942,3.38684,1.74596
brazil_population_by_state_2021,9512,36028,3.78764,3.54164
conterminous_usa_population_by_state_2020,8909,38062,4.27231,4.04957
croatia_population_by_county_2021,4964,28841,5.81003,3.41781
croatia_covid_cases_by_county_2022,4964,28841,5.81003,3.267
NUTS_population_by_country_2021,36149,36896,1.02066,1.02012
france_population_by_metropolitan_region_2008,9796,30029,3.06543,2.9796
germany_population_by_state_2011,3884,27491,7.07801,3.42279
indonesia_population_by_province_2024,4452,22272,5.0027,2.52948
metropolitan_france_population_by_departement_2022,10095,66961,6.63309,6.46838
switzerland_gdp_in_billion_chf_by_canton_2019,10118,35646,3.52303,3.42709
switzerland_population_by_canton_2016,10016,34665,3.46096,3.36869
tunisia_population_by_governate_2014,9872,34081,3.45229,3.30318
usa_population_by_state_2020,9104,25664,2.81898,2.72378
vietnam_population_by_province_2019,9684,34331,3.54513,3.43518

Final Results:
Success count: 17
Fail count: 15
