shapeName,Cartogram Data (eg. Population),Color,Inset,Label
CENTRAL REGION,939890,,,
EAST REGION,693500,,,
NORTH-EAST REGION,834450,,,
NORTH REGION,531860,,,
WEST REGION,903010,,,
