NAME_1,Population
Aargau,678207
Appenzell Ausserrhoden,55234
Appenzell Innerrhoden,16145
Basel-Landschaft,289527
Basel-Stadt,200298
Bern,1034977
Fribourg,318714
Geneve,499480
Glarus,40403
Graubunden,198379
Jura,73419
Lucerne,409557
Neuchatel,176850
Nidwalden,43223
Obwalden,37841
Sankt Gallen,507697
Schaffhausen,81991
Schwyz,159165
Solothurn,273194
Thurgau,276472
Ticino,353343
Uri,36433
Valais,343955
Vaud,799145
Zug,126837
Zurich,1520968
