shapeName,Cartogram Data (eg. Population),Color,Inset,Label
Baden-Württemberg,10486660,,,
Bayern,12397614,,,
Berlin,3292365,,,
Brandenburg,2455780,,,
Bremen,650863,,,
Hamburg,1706696,,,
Hessen,5971816,,,
Mecklenburg-Vorpommern,1609982,,,
Niedersachsen,7777992,,,
Nordrhein-Westfalen,17538251,,,
Rheinland-Pfalz,3989808,,,
Saarland,999623,,,
Sachsen-Anhalt,2287040,,,
Sachsen,4056799,,,
Schleswig-Holstein,2800119,,,
Thüringen,2188589,,,
