shapeName,Population (people),Color,Inset,Label
Baden-Württemberg,10486660,,,BW
Bayern,12397614,,,BY
Berlin,3292365,,,BE
Brandenburg,2455780,,,BB
Bremen,650863,,,HB
Hamburg,1706696,,,HH
Hessen,5971816,,,HE
Mecklenburg-Vorpommern,1609982,,,MV
Niedersachsen,7777992,,,NI
Nordrhein-Westfalen,17538251,,,NW
Rheinland-Pfalz,3989808,,,RP
Saarland,999623,,,SL
Sachsen-Anhalt,2287040,,,ST
Sachsen,4056799,,,SN
Schleswig-Holstein,2800119,,,SH
Thüringen,2188589,,,TH
