NUTS_NAME,Cartogram Data (eg. Population),Color,Inset,Label
Outer London — West and North West,2103443,,,
Overijssel,1156431,,,
Övre Norrland,520651,,,
País Vasco,2177880,,,
Panonska Hrvatska,1046327,,,
Pays de la Loire,3849977,,,
Pest,1278874,,,
Picardie,1929189,,,
Piemonte,4328565,,,
Podkarpackie,2086135,,,
Podlaskie,1152074,,,
Pohjois- ja Itä-Suomi,1284638,,,
Poitou-Charentes,1812353,,,
Pomorskie,2305077,,,
Praha,1308632,,,
Principado de Asturias,1022205,,,
Prov. Antwerpen,1860470,,,
Prov. Brabant Wallon,404270,,,
Prov. Hainaut,1346082,,,
Prov. Liège,1110068,,,
Prov. Limburg (BE),875842,,,
Prov. Luxembourg (BE),286685,,,
Prov. Namur,496891,,,
Prov. Oost-Vlaanderen,1516283,,,
Prov. Vlaams-Brabant,1146643,,,
Prov. West-Vlaanderen,1196995,,,
Provence-Alpes-Côte d’Azur,5116360,,,
Provincia Autonoma di Bolzano/Bozen,530313,,,
Provincia Autonoma di Trento,543721,,,
Puglia,3975528,,,
Qender,1170142,,,
Região Autónoma da Madeira,253923,,,
Região Autónoma dos Açores,242201,,,
Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,1226329,,,
Región de Murcia,1487663,,,
Région lémanique,1642580,,,
Rheinhessen-Pfalz,2057952,,,
Rhône-Alpes,6660101,,,
Saarland,990509,,,
Sachsen-Anhalt,2208321,,,
Salzburg,555221,,,
"Samsun, Tokat, Çorum, Amasya",2822353,,,
"Şanlıurfa, Diyarbakır",3768205,,,
Sardegna,1622257,,,
Schleswig-Holstein,2896712,,,
Schwaben,1887754,,,
Severovýchod,1513693,,,
Severozápad,1115685,,,
Shropshire and Staffordshire,1626956,,,
Sicilia,4908548,,,
Sjælland,836738,,,
Sjeverna Hrvatska,812067,,,
Śląskie,4488998,,,
Småland med öarna,864630,,,
Sostinės regionas,810538,,,
South Yorkshire,1404971,,,
Southern,1624381,,,
Southern Scotland,947186,,,
Steiermark,1243052,,,
Stockholm,2344124,,,
Stredné Slovensko,1339242,,,
Střední Čechy,1369332,,,
Střední Morava,1215413,,,
Stuttgart,4143418,,,
Sud-Est,2396171,,,
Sud-Muntenia,2929832,,,
Sud-Vest Oltenia,1926860,,,
"Surrey, East and West Sussex",2909838,,,
Świętokrzyskie,1226243,,,
Syddanmark,1223348,,,
Sydsverige,1521848,,,
Tees Valley and Durham,1201543,,,
"Tekirdağ, Edirne, Kırklareli",1802315,,,
Thüringen,2143145,,,
Ticino,353343,,,
Tirol,754705,,,
Toscana,3701343,,,
"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane",2719113,,,
Trier,531007,,,
Trøndelag,462032,,,
Tübingen,1856517,,,
Umbria,873744,,,
Unterfranken,1317124,,,
Utrecht,1306912,,,
Valle d’Aosta/Vallée d’Aoste,125653,,,
"Van, Muş, Bitlis, Hakkari",2167642,,,
Västsverige,2039166,,,
Veneto,4884590,,,
Veri,813758,,,
Vest,1777474,,,
Vestlandet,1387010,,,
Vidurio ir vakarų Lietuvos regionas,1983646,,,
Vorarlberg,394297,,,
Východné Slovensko,1625436,,,
Vzhodna Slovenija,1094435,,,
Warmińsko-mazurskie,1404441,,,
Warszawski stołeczny,3053104,,,
Weser-Ems,2525333,,,
West Central Scotland,1541998,,,
West Midlands,2928377,,,
West Wales and The Valleys,1968383,,,
West Yorkshire,2324560,,,
Wielkopolskie,3473172,,,
Wien,1897491,,,
Zachodniopomorskie,1675502,,,
Zahodna Slovenija,986473,,,
Západné Slovensko,1826145,,,
Zeeland,383032,,,
Zentralschweiz,813056,,,
"Zonguldak, Karabük, Bartın",1046711,,,
Zuid-Holland,3709139,,,
Zürich,1520968,,,
Βόρειο Αιγαίο,221098,,,
Δυτική Ελλάδα,655189,,,
Δυτική Μακεδονία,267008,,,
Ήπειρος,333696,,,
Θεσσαλία,718640,,,
Ιόνια Νησιά,203869,,,
Κεντρική Μακεδονία,1873777,,,
Κρήτη,634930,,,
Κύπρος,875899,,,
Νότιο Αιγαίο,344027,,,
Πελοπόννησος,574447,,,
Στερεά Ελλάδα,555960,,,
Београдски регион,1692768,,,
Регион Војводине,1834430,,,
Регион Јужне и Источне Србије,1463882,,,
Регион Шумадије и Западне Србије,1880467,,,
Северен централен,784168,,,
Северна Македонија,2077132,,,
Северозападен,742304,,,
Североизточен,929035,,,
Црна Гора,622182,,,
Югозападен,2102205,,,
Югоизточен,1032079,,,
Южен централен,1410248,,,
