shapeName,Population (people),Color,Inset,Label
Johor,4009670,,C,JH
Kedah,2131427,,C,KH
Kelantan,1792501,,C,KN
Kuala Lumpur,1982112,,C,KL
Labuan,95120,,R,LA
Malacca,998428,,C,ME
Negeri Sembilan,1199974,,C,NS
Pahang,1591295,,C,PH
Penang,1740405,,C,PG
Perak,2496041,,C,PK
Perlis,284885,,C,PL
Putrajaya,109202,,C,PJ
Sabah,3418785,,R,SA
Sarawak,2453677,,R,SK
Selangor,6994423,,C,SL
Terengganu,1149440,,C,TE
