shapeName,Cartogram Data (eg. Population),Color,Inset,Label
Johor,4009670,,C,
Kedah,2131427,,C,
Kelantan,1792501,,C,
Kuala Lumpur,1982112,,C,
Labuan,95120,,R,
Malacca,998428,,C,
Negeri Sembilan,1199974,,C,
Pahang,1591295,,C,
Penang,1740405,,C,
Perak,2496041,,C,
Perlis,284885,,C,
Putrajaya,109202,,C,
Sabah,3418785,,R,
Sarawak,2453677,,R,
Selangor,6994423,,C,
Terengganu,1149440,,C,
