shapeName,Population (people),Color,Inset,Label
Johor,4009670,,,
Kedah,2131427,,,
Kelantan,1792501,,,
Kuala Lumpur,1982112,,,
Labuan,95120,,,
Malacca,998428,,,
Negeri Sembilan,1199974,,,
Pahang,1591295,,,
Penang,1740405,,,
Perak,2496041,,,
Perlis,284885,,,
Putrajaya,109202,,,
Sabah,3418785,,,
Sarawak,2453677,,,
Selangor,6994423,,,
Terengganu,1149440,,,
