NAME_1,Population,Inset
Aveiro,695702,R
Azores,250000,LT
Beja,141178,R
Braga,828650,R
Braganca,124571,R
Castelo Branco,179038,R
Coimbra,405267,R
Evora,152865,R
Faro,438864,R
Guarda,144354,R
Leiria,454592,R
Lisboa,2271772,R
Madeira,250000,LB
Portalegre,105479,R
Porto,1778146,R
Santarem,429719,R
Setubal,852328,R
Viana do Castelo,230954,R
Vila Real,191894,R
Viseu,354453,R
