NAME_1,Population,Inset
Drenthe,492167,R
Flevoland,416546,R
Friesland,647672,R
Gelderland,2071972,R
Groningen,583990,R
Limburg,1116137,R
Noord-Brabant,2544806,R
Noord-Holland,2853359,R
Overijssel,1156431,R
Utrecht,1342158,R
Zeeland,383032,R
Zuid-Holland,3673839,R
Aruba,300000,L
Sint Maarten,100000,CR
Curacao,200000,CL
